quantity,unit,ingredient,ingredient_step,recipe_id
1,oz,sweet vermouth,2,174
2,dash,es angostura bitters,3,174
2,oz,applejack,0,175
0.75,oz,sweet vermouth,1,175
0.75,oz,brandy,2,175
1/4,,wine glass lemon juice [~0.5 oz.],0,176
1/4,,wine glass kina lillet,1,176
1/4,,wine glass cointreau,2,176
1/4,,wine glass dry gin,3,176
1,dash,absinthe,4,176
0.75,oz,beefeater gin,0,177
0.75,oz,lillet blanc,1,177
0.75,oz,marie brizard orange curacao,2,177
0.75,oz,lemon juice,3,177
4,cl,citron vodka,0,178
1.5,cl,cointreau,1,178
1.5,cl,lime juice,2,178
3,cl,cranberry juice,3,178
2,oz,gin,0,179
1,oz,cointreau,1,179
1,oz,apricot brandy,2,179
2,oz,citron vodka,0,180
3/4,oz,cointreau,1,180
1,oz,cranberry juice,2,180
1,oz,lime juice,3,180
,,lemon twist,4,180
1 1/2,oz,gin,0,181
1/2,oz,lemon juice,1,181
1/4,oz,grenadine,2,181
3/4,oz,ruby port,3,181
1/2,,lime,0,182
2,oz,light rum,1,182
4,,to 6 ounces chilled cola,2,182
5,cl,white rum,3,182
12,cl,cola,4,182
1,cl,lime juice,5,182
5,cl,white rum,0,183
12,cl,cola,1,183
1,cl,lime juice,2,183
1,oz,light rum,0,184
1,oz,cointreau,1,184
1,oz,lime juice,2,184
,,lime twist,3,184
1,tablespoon,superfine sugar,0,185
1,oz,lime juice,1,185
1/4,cup,thinly sliced english cucumber,2,185
1 1/2,oz,silver tequila,3,185
1,oz,cointreau,4,185
2,oz,white rum,0,186
1,oz,lime juice,1,186
0.75,oz,simple syrup,2,186
2,oz,banks 5 island rum,0,187
0.75,oz,lime juice,1,187
0.75,oz,simple syrup,2,187
,,shake on ice and strain,3,187
,,garnish with lime wheel,4,187
2,oz,light rum,0,188
1,oz,lime juice,1,188
0.5,oz,simple syrup,2,188
